speed,steering_angle,position,rotation,rotation_speed
-2.827618499999998,0.0,"Vec3(9.78817, 0.380421, -6.13918)","Vec3(0, 50.5719, 0)",-3.0
-2.8514625000000002,0.0,"Vec3(9.75439, 0.380421, -6.16939)","Vec3(0, 48.1875, 0)",-3.0
-2.876520000000003,0.0,"Vec3(9.72001, 0.380421, -6.20297)","Vec3(0, 45.6818, 0)",-3.0
-2.902103999999998,0.0,"Vec3(9.68618, 0.380421, -6.23909)","Vec3(0, 43.1234, 0)",-3.0
-2.9412565000000015,0.0,"Vec3(9.65609, 0.380421, -6.27398)","Vec3(0, 40.7742, 0)",-2.9292699751239932
-2.9849790000000045,0.0,"Vec3(9.6238, 0.380421, -6.31499)","Vec3(0, 38.2127, 0)",-2.850398247612071
-3.0282614999999993,0.0,"Vec3(9.59317, 0.380421, -6.35755)","Vec3(0, 35.7453, 0)",-2.7724464045165806
-3.067406500000004,0.0,"Vec3(9.56661, 0.380421, -6.39756)","Vec3(0, 33.5747, 0)",-2.702059157611072
-3.0960700000000045,0.0,"Vec3(9.53615, 0.380421, -6.44828)","Vec3(0, 30.993, 0)",-2.558956336079153
-3.119018500000003,0.0,"Vec3(9.51299, 0.380421, -6.49)","Vec3(0, 29.0356, 0)",-2.4444587985674953
-3.1438615000000034,0.0,"Vec3(9.48934, 0.380421, -6.53639)","Vec3(0, 27.0113, 0)",-2.3205723293003255
-3.168295000000004,0.0,"Vec3(9.46743, 0.380421, -6.58312)","Vec3(0, 25.1213, 0)",-2.198795389295906
-3.1932490000000016,0.0,"Vec3(9.44642, 0.380421, -6.63191)","Vec3(0, 23.2924, 0)",-2.074492015232585
-3.2186815000000006,0.0,"Vec3(9.42639, 0.380421, -6.68267)","Vec3(0, 21.5337, 0)",-1.9478756046984231
-3.243862000000002,0.0,"Vec3(9.40786, 0.380421, -6.73388)","Vec3(0, 19.8988, 0)",-1.8225849390885007
-3.267299500000002,0.0,"Vec3(9.39168, 0.380421, -6.7823)","Vec3(0, 18.4749, 0)",-1.7060324963801674
-3.295492000000003,0.0,"Vec3(9.3737, 0.380421, -6.84157)","Vec3(0, 16.8716, 0)",-1.5659073120639115
-3.318758500000003,0.0,"Vec3(9.35981, 0.380421, -6.89114)","Vec3(0, 15.6572, 0)",-1.4503387081325778
-3.345937000000001,0.0,"Vec3(9.34479, 0.380421, -6.94987)","Vec3(0, 14.3432, 0)",-1.315408805676171
-3.368713000000003,0.0,"Vec3(9.33299, 0.380421, -6.99964)","Vec3(0, 13.3446, 0)",-1.202404256910827
-3.3930850000000046,0.0,"Vec3(9.32118, 0.380421, -7.05349)","Vec3(0, 12.3678, 0)",-1.0815427317148203
-3.4182280000000045,0.0,"Vec3(9.30979, 0.380421, -7.10965)","Vec3(0, 11.4613, 0)",-0.9569258801764875
-3.4460245000000036,0.0,"Vec3(9.29807, 0.380421, -7.17242)","Vec3(0, 10.5747, 0)",-0.8192350773544919
-3.4698175000000013,0.0,"Vec3(9.28859, 0.380421, -7.22663)","Vec3(0, 9.92494, 0)",-0.7014492174576697
-3.4939750000000007,0.0,"Vec3(9.27944, 0.380421, -7.28216)","Vec3(0, 9.3601, 0)",-0.5819227859305894
-3.5189260000000004,0.0,"Vec3(9.2704, 0.380421, -7.33999)","Vec3(0, 8.87611, 0)",-0.45853724928892414
-3.543359500000001,0.0,"Vec3(9.26187, 0.380421, -7.39707)","Vec3(0, 8.50266, 0)",-0.3377785468912542
