speed,steering_angle,position,rotation,rotation_speed
-1.2817619,0.0,"Vec3(-1.29993, 0.38042, -0.950686)","Vec3(0, -0.223326, 0)",-0.2966731387472934
-1.2908067500000002,0.0,"Vec3(-1.29989, 0.38042, -0.958469)","Vec3(0, -0.312771, 0)",-0.34620048809409626
-1.2999313999999997,0.0,"Vec3(-1.29983, 0.38042, -0.966376)","Vec3(0, -0.41807, 0)",-0.3961739725175811
-1.30917155,0.0,"Vec3(-1.29975, 0.38042, -0.974441)","Vec3(0, -0.540094, 0)",-0.4467893904204396
-1.3182449000000003,0.0,"Vec3(-1.29966, 0.38042, -0.982414)","Vec3(0, -0.675223, 0)",-0.49650043171857317
-1.32716465,0.0,"Vec3(-1.29955, 0.38042, -0.990305)","Vec3(0, -0.822845, 0)",-0.5453789222682137
-1.33629515,0.0,"Vec3(-1.29941, 0.38042, -0.998438)","Vec3(0, -0.988831, 0)",-0.5954213308056383
-1.3455324500000003,0.0,"Vec3(-1.29924, 0.38042, -1.00672)","Vec3(0, -1.17217, 0)",-0.6460584596044285
-1.3545000499999997,0.0,"Vec3(-1.29904, 0.38042, -1.01482)","Vec3(0, -1.36529, 0)",-0.6952263481376053
-1.3635734,0.0,"Vec3(-1.29882, 0.38042, -1.02306)","Vec3(0, -1.57555, 0)",-0.7449830873630139
-1.37261465,0.0,"Vec3(-1.29856, 0.38042, -1.03133)","Vec3(0, -1.80007, 0)",-0.7945729104744311
-1.3817566999999997,0.0,"Vec3(-1.29826, 0.38042, -1.03975)","Vec3(0, -2.04221, 0)",-0.8447247895589886
-1.3908593,0.0,"Vec3(-1.29792, 0.38042, -1.04818)","Vec3(0, -2.29851, 0)",-0.8946694982853701
-1.4001635000000001,0.0,"Vec3(-1.29753, 0.38042, -1.05686)","Vec3(0, -2.57599, 0)",-0.9457297686297107
-1.4090643500000002,0.0,"Vec3(-1.29711, 0.38042, -1.06521)","Vec3(0, -2.85658, 0)",-0.9945857069951528
-1.4180614999999999,0.0,"Vec3(-1.29664, 0.38042, -1.0737)","Vec3(0, -3.15486, 0)",-1.04397912514144
-1.4270539999999998,0.0,"Vec3(-1.29613, 0.38042, -1.08224)","Vec3(0, -3.46779, 0)",-1.0933560049235231
-1.4362139000000003,0.0,"Vec3(-1.29554, 0.38042, -1.09099)","Vec3(0, -3.80163, 0)",-1.1436612129162589
-1.4453446999999997,0.0,"Vec3(-1.29491, 0.38042, -1.09977)","Vec3(0, -4.14971, 0)",-1.1938158997916024
-1.4544735500000003,0.0,"Vec3(-1.29421, 0.38042, -1.10859)","Vec3(0, -4.51299, 0)",-1.2439691370098942
-1.4636480000000003,0.0,"Vec3(-1.29345, 0.38042, -1.11751)","Vec3(0, -4.89341, 0)",-1.294382203105538
-1.4727864499999999,0.0,"Vec3(-1.29262, 0.38042, -1.12645)","Vec3(0, -5.2877, 0)",-1.3446067668906023
-1.4816429,0.0,"Vec3(-1.29175, 0.38042, -1.13515)","Vec3(0, -5.68465, 0)",-1.3932904623967255
-1.4908013000000002,0.0,"Vec3(-1.29079, 0.38042, -1.1442)","Vec3(0, -6.10999, 0)",-1.4436429822117667
-1.4998646000000002,0.0,"Vec3(-1.28975, 0.38042, -1.1532)","Vec3(0, -6.54613, 0)",-1.4934818688142433
-1.5098669000000002,0.0,"Vec3(-1.28852, 0.38042, -1.1632)","Vec3(0, -7.04407, 0)",-1.5484943683351968
-1.5180748999999998,0.0,"Vec3(-1.28744, 0.38042, -1.17143)","Vec3(0, -7.46774, 0)",-1.5936473669479942
-1.5272281999999997,0.0,"Vec3(-1.28615, 0.38042, -1.18066)","Vec3(0, -7.95398, 0)",-1.6440088997237905
-1.5362406500000003,0.0,"Vec3(-1.28479, 0.38042, -1.18979)","Vec3(0, -8.44786, 0)",-1.6936046405894705
-1.5454709000000002,0.0,"Vec3(-1.28331, 0.38042, -1.19919)","Vec3(0, -8.96894, 0)",-1.744408183396099
-1.55438915,0.0,"Vec3(-1.28179, 0.38042, -1.2083)","Vec3(0, -9.48751, 0)",-1.7935036162687568
-1.5635323999999997,0.0,"Vec3(-1.28013, 0.38042, -1.21769)","Vec3(0, -10.0341, 0)",-1.843846746112726
-1.5725927,0.0,"Vec3(-1.27838, 0.38042, -1.22702)","Vec3(0, -10.591, 0)",-1.8937423541798073
-1.5817214000000002,0.0,"Vec3(-1.27652, 0.38042, -1.23647)","Vec3(0, -11.1672, 0)",-1.9440238349554184
-1.5909481999999997,0.0,"Vec3(-1.27452, 0.38042, -1.24605)","Vec3(0, -11.7651, 0)",-1.9948550157346958
-1.5999673999999993,0.0,"Vec3(-1.27246, 0.38042, -1.25544)","Vec3(0, -12.3649, 0)",-2.04455175795752
-1.60906205,0.0,"Vec3(-1.27027, 0.38042, -1.26495)","Vec3(0, -12.9847, 0)",-2.094673351681347
-1.6181685500000005,0.0,"Vec3(-1.26795, 0.38042, -1.2745)","Vec3(0, -13.6205, 0)",-2.144869454298942
-1.6271483,0.0,"Vec3(-1.26555, 0.38042, -1.28394)","Vec3(0, -14.2625, 0)",-2.1943759819697015
-1.63626935,0.0,"Vec3(-1.26299, 0.38042, -1.29355)","Vec3(0, -14.9297, 0)",-2.244670615414337
-1.6452343999999997,0.0,"Vec3(-1.26035, 0.38042, -1.30302)","Vec3(0, -15.6005, 0)",-2.2941141305850254
-1.6543929499999996,0.0,"Vec3(-1.25751, 0.38042, -1.31272)","Vec3(0, -16.3008, 0)",-2.3446339485310386
-1.6635714499999996,0.0,"Vec3(-1.25453, 0.38042, -1.32245)","Vec3(0, -17.0182, 0)",-2.39527315360788
-1.6726173499999994,0.0,"Vec3(-1.25146, 0.38042, -1.33206)","Vec3(0, -17.7404, 0)",-2.4451900092722743
-1.6817790500000003,0.0,"Vec3(-1.2482, 0.38042, -1.3418)","Vec3(0, -18.4872, 0)",-2.495755077980667
-1.6908576499999999,0.0,"Vec3(-1.24483, 0.38042, -1.35146)","Vec3(0, -19.2424, 0)",-2.5458707445677016
-1.69983575,0.0,"Vec3(-1.24135, 0.38042, -1.36102)","Vec3(0, -20.0043, 0)",-2.595440687797421
-1.7090462000000004,0.0,"Vec3(-1.23762, 0.38042, -1.37083)","Vec3(0, -20.8012, 0)",-2.6
-1.7181949999999997,0.0,"Vec3(-1.23377, 0.38042, -1.38058)","Vec3(0, -21.5941, 0)",-2.6
-1.7274308000000005,0.0,"Vec3(-1.22971, 0.38042, -1.39041)","Vec3(0, -22.3945, 0)",-2.6
-1.7364249500000004,0.0,"Vec3(-1.22562, 0.38042, -1.39998)","Vec3(0, -23.174, 0)",-2.6
-1.74569975,0.0,"Vec3(-1.22123, 0.38042, -1.40985)","Vec3(0, -23.9778, 0)",-2.6
-1.75481315,0.0,"Vec3(-1.21676, 0.38042, -1.41953)","Vec3(0, -24.7676, 0)",-2.6
